Channel              :,CH1
Frequency            :,25.00MHz
Period               :,40.00ns
PK-PK                :,1.042V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.00100uS

index,CH1_Voltage(mV)
1,-424.000000
2,-424.000000
3,-368.000000
4,-304.000000
5,-240.000000
6,-168.000000
7,-80.000000
8,0.000000
9,80.000000
10,160.000000
11,232.000000
12,304.000000
13,368.000000
14,424.000000
15,464.000000
16,496.000000
17,520.000000
18,528.000000
19,520.000000
20,504.000000
21,472.000000
22,424.000000
23,376.000000
24,312.000000
25,248.000000
26,168.000000
27,96.000000
28,8.000000
29,-72.000000
30,-152.000000
31,-224.000000
32,-296.000000
33,-360.000000
34,-408.000000
35,-448.000000
36,-480.000000
37,-504.000000
38,-512.000000
39,-504.000000
40,-488.000000
41,-464.000000
42,-424.000000
43,-368.000000
44,-304.000000
45,-240.000000
46,-168.000000
47,-80.000000
48,0.000000
49,80.000000
50,160.000000
51,232.000000
52,304.000000
53,368.000000
54,424.000000
55,464.000000
56,496.000000
57,520.000000
58,520.000000
59,520.000000
60,496.000000
61,472.000000
62,424.000000
63,376.000000
64,320.000000
65,248.000000
66,176.000000
67,96.000000
68,16.000000
69,-64.000000
70,-144.000000
71,-224.000000
72,-296.000000
73,-352.000000
74,-408.000000
75,-456.000000
76,-488.000000
77,-504.000000
78,-512.000000
79,-512.000000
80,-488.000000
81,-464.000000
82,-416.000000
83,-368.000000
84,-304.000000
85,-240.000000
86,-160.000000
87,-80.000000
88,0.000000
89,80.000000
90,160.000000
91,232.000000
92,304.000000
93,368.000000
94,416.000000
95,464.000000
96,496.000000
97,520.000000
98,520.000000
99,520.000000
100,504.000000
101,472.000000
102,432.000000
103,376.000000
104,320.000000
105,248.000000
106,176.000000
107,96.000000
108,16.000000
109,-64.000000
110,-144.000000
111,-224.000000
112,-296.000000
113,-352.000000
114,-408.000000
115,-448.000000
116,-488.000000
117,-504.000000
118,-512.000000
119,-504.000000
120,-488.000000
121,-464.000000
122,-424.000000
123,-368.000000
124,-312.000000
125,-240.000000
126,-160.000000
127,-80.000000
128,0.000000
129,80.000000
130,160.000000
131,232.000000
132,304.000000
133,368.000000
134,424.000000
135,464.000000
136,496.000000
137,520.000000
138,520.000000
139,520.000000
140,504.000000
141,472.000000
